virus,term,estimate,std.error,statistic,p.value,ind
bvic,(Intercept),-1.1679297371519435,0.3687485627904566,-3.1672794283285817,0.0015387238862791608,26
bvic,logHImid,-0.4115557520098639,0.1274744665389104,-3.22853480531523,0.0012442611666740923,26
bvic,(Intercept),-1.4037672439460858,0.4491296159677293,-3.1255281193635396,0.0017748610051183398,27
bvic,logHImid,-0.444564970418759,0.15584749359846842,-2.8525641327550226,0.004336806045410875,27
bvic,(Intercept),-0.33338759288704495,0.35161709270039404,-0.9481552512895552,0.3430504241566622,28
bvic,logHImid,-0.5679985303150633,0.13250562648680253,-4.286599334494189,1.814290939399227e-5,28
bvic,(Intercept),-0.76977910330047,0.48271133770659336,-1.594698618345619,0.1107796471693416,29
bvic,logHImid,-0.6687671531288502,0.21989401048280835,-3.0413159124274345,0.0023554655035800095,29
bvic,(Intercept),-1.238129892659385,0.3671439312815534,-3.3723283627147693,7.453552706173148e-4,30
bvic,logHImid,-0.3809095905772639,0.12690628443063234,-3.0015029774626423,0.0026865041204631014,30
bvic,(Intercept),-0.4616412323588966,0.3518385057129912,-1.312082744961053,0.18949221728276675,31
bvic,logHImid,-0.5990016647508463,0.14200347065183525,-4.218218484388183,2.4624015920447527e-5,31
bvic,(Intercept),-0.6425228190147455,0.4392185880832238,-1.4628771105038008,0.14350100831182203,32
bvic,logHImid,-0.6698805501926485,0.18687035477085165,-3.58473419186304,3.3742167620506744e-4,32
bvic,(Intercept),-0.4739772610699336,0.377139607310773,-1.2567687187502525,0.20883739628934309,33
bvic,logHImid,-0.6116289507235266,0.15280978207824134,-4.002551030472393,6.266314635182281e-5,33
bvic,(Intercept),-0.017581072568065674,0.44624224066615836,-0.03939804654489978,0.9685730373333187,34
bvic,logHImid,-0.8421150193789443,0.21104639522613905,-3.990189069453694,6.602064605174106e-5,34
bvic,(Intercept),-1.0588057484484616,0.34676937727233603,-3.053342705105493,0.0022630732821808303,35
bvic,logHImid,-0.346938663319462,0.11326625500006578,-3.063036412029872,0.00219103397918118,35
bvic,(Intercept),-1.2805139983318612,0.44213754222324697,-2.8961892534456974,0.003777245280983527,36
bvic,logHImid,-0.5185083898111552,0.16558824111080356,-3.1313116579588205,0.0017402737113626835,36
bvic,(Intercept),-0.08732575294634795,0.4211916287803921,-0.2073302197368203,0.8357519749159575,37
bvic,logHImid,-0.8214815084994338,0.19741400356869804,-4.161211938612889,3.165631256209222e-5,37
bvic,(Intercept),-0.13624444564980487,0.37122708896730966,-0.3670110552244817,0.7136107716991746,38
bvic,logHImid,-0.6738351964649799,0.15698974482859337,-4.292224292744062,1.7689212738301238e-5,38
bvic,(Intercept),-1.0484533685573205,0.5016331861780347,-2.0900797583699213,0.03661063564239568,39
bvic,logHImid,-0.6349133445441925,0.21472235477214602,-2.9569037896307293,0.0031074506191676333,39
bvic,(Intercept),-0.2810063560450991,0.3344341844942157,-0.8402441170004239,0.4007715271744302,40
bvic,logHImid,-0.5772782342897189,0.13215617531623267,-4.3681517939541354,1.2530239586232705e-5,40
bvic,(Intercept),-0.6784797581812971,0.3926607139984724,-1.7279033373935562,0.08400555589739166,41
bvic,logHImid,-0.5862048267395757,0.15637235723417647,-3.7487752765771813,1.7770022088786384e-4,41
bvic,(Intercept),-1.1045443498328198,0.3495394969817904,-3.1599986821814365,0.00157769852468963,42
bvic,logHImid,-0.3661376475871337,0.11641275828185921,-3.145167703187989,0.0016599164725613364,42
